FIPS,TOTAL
29055.0,6
29057.0,0
29059.0,1
29061.0,2
29063.0,2
29065.0,2
29067.0,3
29069.0,11
29071.0,34
29073.0,24
29075.0,10
29077.0,103
29079.0,8
29081.0,1
29083.0,5
29085.0,3
29087.0,1
29089.0,2
29091.0,4
29093.0,0
29095.0,117
29097.0,59
29099.0,69
29101.0,10
0,159
29103.0,1
29105.0,15
29107.0,19
29109.0,13
29111.0,2
29113.0,4
29115.0,1
29117.0,5
29121.0,0
29123.0,2
29125.0,0
29127.0,14
29119.0,11
29129.0,0
29131.0,5
29133.0,5
29135.0,6
29137.0,1
29139.0,1
29141.0,5
29143.0,17
29145.0,16
29147.0,10
29149.0,0
29151.0,3
80029.0,0
29153.0,1
29155.0,12
29157.0,7
29159.0,13
29161.0,19
29163.0,4
29165.0,12
29167.0,7
29169.0,8
29171.0,1
29173.0,0
29175.0,3
29177.0,2
29179.0,0
29181.0,3
29195.0,9
29197.0,0
29199.0,1
29201.0,18
29203.0,2
29205.0,1
29183.0,130
29185.0,1
29187.0,19
29189.0,854
29510.0,216
29186.0,1
29207.0,15
29209.0,6
29211.0,1
29213.0,33
29215.0,3
90029.0,0
29217.0,3
29219.0,1
29221.0,11
29223.0,1
29225.0,6
29227.0,0
29229.0,0
30001.0,1
30003.0,32
30005.0,2
30007.0,0
30009.0,0
30011.0,0
30013.0,6
30015.0,0
30017.0,2
30019.0,0
30021.0,1
30023.0,0
30025.0,0
30027.0,1
30029.0,23
30031.0,5
30033.0,0
30035.0,2
30037.0,0
30039.0,0
30041.0,10
30043.0,0
30045.0,0
30047.0,1
30049.0,3
30051.0,0
30053.0,3
30057.0,1
30055.0,0
30059.0,2
30061.0,0
30063.0,7
30065.0,1
80030.0,0
30067.0,0
30069.0,0
30071.0,0
30073.0,1
30075.0,0
30077.0,0
30079.0,0
30081.0,4
30083.0,2
30085.0,13
30087.0,20
30089.0,1
30091.0,0
30093.0,0
30095.0,3
30097.0,2
30099.0,0
30101.0,6
30103.0,0
90030.0,0
30105.0,2
30107.0,1
30109.0,0
30111.0,77
31001.0,13
31003.0,1
31005.0,0
31007.0,0
31009.0,0
31011.0,0
31013.0,1
31015.0,0
31017.0,0
31019.0,6
31021.0,1
31023.0,1
31025.0,3
31027.0,0
31029.0,0
31031.0,4
31033.0,1
31035.0,0
31037.0,6
31039.0,2
31041.0,4
31043.0,44
31045.0,0
31047.0,14
31049.0,0
31051.0,2
31053.0,16
31055.0,214
31057.0,1
31059.0,1
31061.0,0
31063.0,0
31065.0,2
31067.0,5
31069.0,0
31071.0,0
31073.0,0
31075.0,0
31077.0,0
31079.0,48
31081.0,12
31083.0,0
31085.0,0
31087.0,0
31089.0,1
31091.0,1
31093.0,5
31095.0,0
31097.0,0
31099.0,0
31101.0,0
31103.0,0
31105.0,0
31107.0,0
31109.0,30
31111.0,4
31113.0,0
31115.0,0
31119.0,8
31117.0,0
31121.0,1
31123.0,0
31125.0,0
31127.0,0
31129.0,0
31131.0,1
80031.0,0
31133.0,0
31135.0,10
31137.0,0
31139.0,8
31141.0,5
31143.0,1
31145.0,0
31147.0,2
31149.0,1
31151.0,2
31153.0,32
31155.0,4
31157.0,8
31159.0,3
31161.0,0
31163.0,3
31165.0,0
31167.0,0
31169.0,0
31171.0,0
31173.0,4
90031.0,1
31175.0,1
31177.0,7
31179.0,0
31181.0,0
31183.0,0
31185.0,2
32510.0,8
32001.0,4
32003.0,1468
32005.0,1
32007.0,11
32009.0,0
32011.0,0
32013.0,4
32015.0,2
32017.0,0
32019.0,10
32021.0,0
32023.0,16
80032.0,0
32027.0,0
32029.0,0
90032.0,0
32031.0,182
32033.0,1
33001.0,5
33003.0,2
33005.0,3
33007.0,0
33009.0,1
33011.0,310
33013.0,24
80033.0,0
33015.0,105
33017.0,14
33019.0,1
90033.0,0
34001.0,264
34003.0,2050
34005.0,505
34007.0,617
34009.0,99
34011.0,161
34013.0,2134
34015.0,234
34017.0,1520
34019.0,126
34021.0,637
34023.0,1437
34025.0,868
34027.0,832
34029.0,1054
80034.0,0
34031.0,1258
34033.0,88
34035.0,588
34037.0,197
90034.0,0
34039.0,1362
34041.0,171
35001.0,185
35003.0,1
35005.0,17
35006.0,21
35007.0,1
35009.0,8
35011.0,0
35013.0,63
35015.0,17
35017.0,2
35019.0,1
35021.0,0
35023.0,2
35025.0,28
35027.0,4
35028.0,0
35029.0,10
35031.0,260
35033.0,0
35035.0,13
80035.0,0
35037.0,2
35039.0,14
35041.0,6
35045.0,203
35047.0,0
35043.0,43
35049.0,8
35051.0,1
35053.0,7
35055.0,4
35057.0,1
90035.0,0
35059.0,2
35061.0,4
36001.0,136
36003.0,1
36005.0,4973
36007.0,83
36009.0,6
36011.0,2
36013.0,13
36015.0,3
36017.0,7
36019.0,5
36021.0,38
36023.0,0
36025.0,7
36027.0,163
36029.0,708
36031.0,0
36033.0,0
36035.0,24
36037.0,5
36039.0,18
36041.0,0
36043.0,10
36045.0,0
36047.0,7365
36049.0,0
36051.0,8
36053.0,17
36055.0,300
36057.0,4
36059.0,2204
36061.0,3188
36063.0,101
36065.0,128
36067.0,207
36069.0,35
36071.0,502
36073.0,54
36075.0,4
36077.0,5
80036.0,0
36079.0,63
36081.0,7282
36083.0,42
36085.0,1089
36087.0,680
36091.0,17
36093.0,50
36095.0,0
36097.0,0
36099.0,3
36089.0,4
36101.0,57
36103.0,2016
36105.0,48
36107.0,25
36109.0,0
36111.0,95
90036.0,18
36113.0,33
36115.0,14
36117.0,5
36119.0,1460
36121.0,5
36123.0,7
37001.0,59
37003.0,9
37005.0,1
37007.0,8
37009.0,1
37011.0,0
37013.0,35
37015.0,13
37017.0,19
37019.0,31
37021.0,93
37023.0,46
37025.0,82
37027.0,19
37029.0,3
37031.0,5
37033.0,5
37035.0,57
37037.0,60
37039.0,12
37041.0,10
37043.0,3
37045.0,75
37047.0,59
37049.0,50
37051.0,91
